title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized
Running Bear,Johnny Preston,1,27,1959,,johnny preston,
Sleep Walk,Santo & Johnny,1,18,1959,,santo & johnny,
Teen Angel,Mark Dinning,1,18,1959,,mark dinning,
The Battle Of New Orleans,Johnny Horton,1,21,1959,,johnny horton,
The Happy Organ,"Dave ""Baby"" Cortez",1,17,1959,,"dave ""baby"" cortez",
The Three Bells,The Browns,1,17,1959,,the browns,
Venus,Frankie Avalon,1,28,1959,,frankie avalon,
Why,Frankie Avalon,1,16,1959,,frankie avalon,
(Now and Then There's) A Fool Such As I,Elvis Presley,2,15,1959,Elvis Presley With The Jordanaires,elvis presley,
(Now and Then There's) A Fool Such As I,The Jordanaires,2,15,1959,Elvis Presley With The Jordanaires,the jordanaires,
Charlie Brown,The Coasters,2,15,1959,,the coasters,
Don't You Know,Della Reese,2,18,1959,,della reese,
Dream Lover,Bobby Darin,2,17,1959,,bobby darin,
Handy Man,Jimmy Jones,2,18,1959,,jimmy jones,
He'll Have To Go,Jim Reeves,2,23,1959,,jim reeves,
Personality,Lloyd Price and His Orchestra,2,19,1959,,lloyd price,lloyd price and his orchestra
Personality,Lloyd Price and His Orchestra,2,19,1959,,his orchestra,lloyd price and his orchestra
Put Your Head On My Shoulder,Paul Anka,2,18,1959,,paul anka,
Sea Of Love,Phil Phillips With The Twilights,2,18,1959,,phil phillips with the twilights,
Sorry (I Ran All The Way Home),The Impalas,2,18,1959,,the impalas,
There Goes My Baby,The Drifters,2,19,1959,,the drifters,
Alvin's Harmonica,David Seville And The Chipmunks,3,15,1959,,david seville,david seville and the chipmunks
Alvin's Harmonica,David Seville And The Chipmunks,3,15,1959,,the chipmunks,david seville and the chipmunks
Dedicated To The One I Love,The Shirelles,3,20,1959,,the shirelles,
I'm Gonna Get Married,Lloyd Price,3,14,1959,,lloyd price,
It's Just A Matter Of Time,Brook Benton,3,18,1959,,brook benton,
Lavender-Blue,Sammy Turner,3,18,1959,,sammy turner,
My Heart Is An Open Book,"Carl Dobkins, Jr.",3,24,1959,,"carl dobkins, jr.",
Pink Shoe Laces,Dodie Stevens,3,19,1959,,dodie stevens,
The Big Hurt,Miss Toni Fisher,3,17,1959,,miss toni fisher,
Tiger,Fabian,3,13,1959,,fabian,
Way Down Yonder In New Orleans,Freddie Cannon,3,15,1959,,freddie cannon,
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts
('til) I Kissed You,The Everly Brothers,4,16,1959,,the everly brothers,
I Need Your Love Tonight,Elvis Presley,4,13,1959,Elvis Presley With The Jordanaires,elvis presley,
I Need Your Love Tonight,The Jordanaires,4,13,1959,Elvis Presley With The Jordanaires,the jordanaires,
In The Mood,Ernie Fields,4,19,1959,Ernie Fields & Orch.,ernie fields,
In The Mood,Orch.,4,19,1959,Ernie Fields & Orch.,orch.,
It's Time To Cry,Paul Anka,4,15,1959,,paul anka,
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes,4,13,1959,Edward Byrnes & Connie Stevens,edward byrnes,
"Kookie, Kookie (Lend Me Your Comb)",Connie Stevens,4,13,1959,Edward Byrnes & Connie Stevens,connie stevens,
Quiet Village,The Exotic Sounds of Martin Denny,4,16,1959,,the exotic sounds of martin denny,
Sweet Nothin's,Brenda Lee,4,24,1959,,brenda lee,
Teen Beat,Sandy Nelson,4,16,1959,,sandy nelson,
Waterloo,Stonewall Jackson,4,16,1959,,stonewall jackson,
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts
"Go, Jimmy, Go",Jimmy Clanton,5,16,1959,,jimmy clanton,
Guitar Boogie Shuffle,The Virtues,5,16,1959,,the virtues,
Lipstick On Your Collar,Connie Francis,5,17,1959,,connie francis,
Lonely Street,Andy Williams,5,16,1959,,andy williams,
Petite Fleur (Little Flower),Chris Barber's Jazz Band,5,15,1959,,chris barber's jazz band,
Red River Rock,Johnny And The Hurricanes,5,17,1959,,johnny and the hurricanes,
Tragedy,Thomas Wayne,5,19,1959,Thomas Wayne With the Delons,thomas wayne,
Tragedy,the Delons,5,19,1959,Thomas Wayne With the Delons,the delons,
I've Had It,The Bell Notes,6,16,1959,,the bell notes,
Lonely Blue Boy,Conway Twitty,6,15,1959,,conway twitty,
Never Be Anyone Else But You,Ricky Nelson,6,16,1959,,ricky nelson,
So Many Ways,Brook Benton,6,16,1959,,brook benton,
Tallahassee Lassie,Freddy Cannon,6,15,1959,,freddy cannon,
We Got Love,Bobby Rydell,6,17,1959,,bobby rydell,
What'd I Say (Part I & II),Ray Charles and his Orchestra,6,15,1959,,ray charles,ray charles and his orchestra
What'd I Say (Part I & II),Ray Charles and his Orchestra,6,15,1959,,his orchestra,ray charles and his orchestra
Among My Souvenirs,Connie Francis,7,15,1959,,connie francis,
Broken-Hearted Melody,Sarah Vaughan,7,19,1959,,sarah vaughan,
Deck Of Cards,Wink Martindale,7,17,1959,,wink martindale,
Just Ask Your Heart,Frankie Avalon,7,16,1959,,frankie avalon,
Poison Ivy,The Coasters,7,16,1959,,the coasters,
Tall Paul,Annette,7,15,1959,Annette With The Afterbeats,annette,
Tall Paul,The Afterbeats,7,15,1959,Annette With The Afterbeats,the afterbeats,
The Village Of St. Bernadette,Andy Williams,7,13,1959,,andy williams,
Be My Guest,Fats Domino,8,14,1959,,fats domino,
Bobby Sox To Stockings,Frankie Avalon,8,13,1959,,frankie avalon,
I Want To Walk You Home,Fats Domino,8,13,1959,,fats domino,
Peter Gunn,Ray Anthony and His Orchestra,8,17,1959,,ray anthony,ray anthony and his orchestra
Peter Gunn,Ray Anthony and His Orchestra,8,17,1959,,his orchestra,ray anthony and his orchestra
Primrose Lane,Jerry Wallace With The Jewels,8,21,1959,,jerry wallace,jerry wallace with the jewels
Primrose Lane,Jerry Wallace With The Jewels,8,21,1959,,the jewels,jerry wallace with the jewels
Tell Him No,Travis & Bob,8,13,1959,,travis & bob,
What A Diff'rence A Day Makes,Dinah Washington,8,20,1959,,dinah washington,
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,9,18,1959,,paul evans and the curls,
Along Came Jones,The Coasters,9,12,1959,,the coasters,
Forty Miles Of Bad Road,Duane Eddy And The Rebels,9,15,1959,,duane eddy,duane eddy and the rebels
Forty Miles Of Bad Road,Duane Eddy And The Rebels,9,15,1959,,the rebels,duane eddy and the rebels
Frankie,Connie Francis,9,15,1959,,connie francis,
Hound Dog Man,Fabian,9,15,1959,,fabian,
It's Late,Ricky Nelson,9,13,1959,,ricky nelson,
Just A Little Too Much,Ricky Nelson,9,13,1959,,ricky nelson,
Oh! Carol,Neil Sedaka,9,18,1959,,neil sedaka,
Only You,Franck Pourcel's French Fiddles,9,16,1959,,franck pourcel's french fiddles,
Pretty Blue Eyes,Steve Lawrence,9,18,1959,,steve lawrence,
Sweeter Than You,Ricky Nelson,9,12,1959,,ricky nelson,
Turn Me Loose,Fabian,9,13,1959,,fabian,
A Boy Without A Girl,Frankie Avalon,10,14,1959,,frankie avalon,
Baby Talk,Jan & Dean,10,12,1959,,jan & dean,
Danny Boy,Conway Twitty,10,18,1959,,conway twitty,
You Got What It Takes,Marv Johnson,10,22,1959,,marv johnson,
"Goodbye Jimmy, Goodbye",Kathy Linden,11,14,1959,,kathy linden,
I Only Have Eyes For You,The Flamingos,11,13,1959,,the flamingos,
It Was I,Skip And Flip,11,16,1959,,skip,skip and flip
It Was I,Skip And Flip,11,16,1959,,flip,skip and flip
Kissin' Time,Bobby Rydell,11,17,1959,,bobby rydell,
May You Always,The McGuire Sisters,11,16,1959,,the mcguire sisters,
Please Mr. Sun,Tommy Edwards,11,13,1959,,tommy edwards,
So Fine,The Fiestas,11,16,1959,,the fiestas,
Three Stars,Tommy Dee,11,12,1959,Tommy Dee with Carol Kay and the Teen-Aires,tommy dee,
Three Stars,Carol Kay and the Teen-Aires,11,12,1959,Tommy Dee with Carol Kay and the Teen-Aires,carol kay and the teen-aires,
Enchanted,The Platters,12,15,1959,,the platters,
Endlessly,Brook Benton,12,13,1959,,brook benton,
Misty,Johnny Mathis,12,17,1959,,johnny mathis,
My Wish Came True,Elvis Presley,12,11,1959,Elvis Presley With The Jordanaires,elvis presley,
My Wish Came True,The Jordanaires,12,11,1959,Elvis Presley With The Jordanaires,the jordanaires,
Since I Don't Have You,The Skyliners,12,19,1959,,the skyliners,
The Tijuana Jail,The Kingston Trio,12,13,1959,,the kingston trio,
This Friendly World,Fabian,12,13,1959,,fabian,
Battle Hymn Of The Republic,The Mormon Tabernacle Choir,13,16,1959,,the mormon tabernacle choir,
Down By The Station,The Four Preps,13,15,1959,,the four preps,
It Doesn't Matter Anymore,Buddy Holly,13,14,1959,,buddy holly,
Morgen,Ivo Robic,13,17,1959,Ivo Robic and The Song-Masters,ivo robic,
Morgen,The Song-Masters,13,17,1959,Ivo Robic and The Song-Masters,the song-masters,
Scarlet Ribbons (For Her Hair),The Browns,13,14,1959,,the browns,
That's Why (I Love You So),Jackie Wilson,13,13,1959,,jackie wilson,
The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra,13,14,1959,,cyril stapleton and his orchestra,
Bongo Rock,Preston Epps,14,13,1959,,preston epps,
Here Comes Summer,Jerry Keller,14,13,1959,,jerry keller,
Sea Cruise,Frankie Ford,14,17,1959,,frankie ford,
The Battle Of Kookamonga,Homer And Jethro,14,10,1959,,homer and jethro,
Uh! Oh! Part 2,The Nutty Squirrels,14,12,1959,,the nutty squirrels,
Dance With Me,The Drifters,15,15,1959,,the drifters,
M.T.A.,The Kingston Trio,15,11,1959,,the kingston trio,
Sandy,Larry Hall,15,15,1959,,larry hall,
The Enchanted Sea,The Islanders,15,13,1959,,the islanders,
What Is Love?,The Playmates,15,13,1959,,the playmates,
I'm Ready,Fats Domino,16,11,1959,,fats domino,
Not One Minute More,Della Reese,16,11,1959,,della reese,
Ragtime Cowboy Joe,David Seville And The Chipmunks,16,9,1959,,david seville,david seville and the chipmunks
Ragtime Cowboy Joe,David Seville And The Chipmunks,16,9,1959,,the chipmunks,david seville and the chipmunks
Take A Message To Mary,The Everly Brothers,16,13,1959,,the everly brothers,
Thank You Pretty Baby,Brook Benton,16,14,1959,,brook benton,
The Children's Marching Song (Nick Nack Paddy Whack),"Mitch Miller and his ""Sing Along",16,14,1959,"Mitch Miller and his ""Sing Along With Mitch"" Chorus","mitch miller and his ""sing along",
The Children's Marching Song (Nick Nack Paddy Whack),"Mitch"" Chorus",16,14,1959,"Mitch Miller and his ""Sing Along With Mitch"" Chorus","mitch"" chorus",
Woo-Hoo,Rock-A-Teens,16,12,1959,,rock-a-teens,
I'm Gonna Be A Wheel Some Day,Fats Domino,17,13,1959,,fats domino,
Smokie - Part 2,Bill Black's Combo,17,12,1959,,bill black's combo,
Twixt Twelve And Twenty,Pat Boone,17,11,1959,,pat boone,
Unforgettable,Dinah Washington,17,13,1959,,dinah washington,
You're So Fine,The Falcons,17,20,1959,,the falcons,
"I Loves You, Porgy",Nina Simone,18,15,1959,,nina simone,
Just Keep It Up,Dee Clark,18,15,1959,,dee clark,
She Say (Oom Dooby Doom),The Diamonds,18,14,1959,,the diamonds,
Always,Sammy Turner,19,12,1959,,sammy turner,
A Worried Man,The Kingston Trio,20,11,1959,,the kingston trio,
Come Into My Heart,Lloyd Price and His Orchestra,20,14,1959,,lloyd price,lloyd price and his orchestra
Come Into My Heart,Lloyd Price and His Orchestra,20,14,1959,,his orchestra,lloyd price and his orchestra
First Name Initial,Annette,20,18,1959,Annette With The Afterbeats,annette,
First Name Initial,The Afterbeats,20,18,1959,Annette With The Afterbeats,the afterbeats,
Hey Little Girl,Dee Clark,20,15,1959,,dee clark,
Hushabye,The Mystics,20,15,1959,,the mystics,
I Wanna Be Loved,Ricky Nelson,20,11,1959,,ricky nelson,
I'll Be Satisfied,Jackie Wilson,20,12,1959,,jackie wilson,
Makin' Love,Floyd Robinson,20,18,1959,,floyd robinson,
Say Man,Bo Diddley,20,12,1959,,bo diddley,
Small World,Johnny Mathis,20,15,1959,,johnny mathis,
The Little Space Girl,Jesse Lee Turner,20,12,1959,,jesse lee turner,
This Should Go On Forever,Rod Bernard,20,12,1959,,rod bernard,
With The Wind And The Rain In Your Hair,Pat Boone,21,14,1959,,pat boone,
You Were Mine,Fireflies,21,16,1959,,fireflies,
If I Didn't Care,Connie Francis,22,11,1959,,connie francis,
Poor Jenny,The Everly Brothers,22,12,1959,,the everly brothers,
The Angels Listened In,The Crests,22,16,1959,,the crests,
Crossfire,Johnny And The Hurricanes,23,14,1959,,johnny and the hurricanes,
For A Penny,Pat Boone,23,11,1959,,pat boone,
Love Potion No. 9,The Clovers,23,17,1959,,the clovers,
Raw-Hide,Link Wray And The Wraymen,23,13,1959,,link wray and the wraymen,
See You In September,The Tempos,23,14,1959,,the tempos,
Tear Drop,Santo & Johnny,23,11,1959,,santo & johnny,
The Lonely One,Duane Eddy His Twangy Guitar,23,13,1959,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
The Lonely One,The Rebels,23,13,1959,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
The Three Bells (The Jimmy Brown Story),Dick Flood,23,8,1959,,dick flood,
Where Were You (On Our Wedding Day)?,Lloyd Price,23,11,1959,,lloyd price,
"Ciao, Ciao Bambina",Jacky Noguez,24,12,1959,Jacky Noguez And His Musette Orchestra,jacky noguez,
"Ciao, Ciao Bambina",His Musette Orchestra,24,12,1959,Jacky Noguez And His Musette Orchestra,his musette orchestra,
I Ain't Never,Webb Pierce,24,14,1959,,webb pierce,
I Got A Wife,The Mark IV,24,12,1959,,the mark iv,
Lonely For You,Gary Stites,24,14,1959,,gary stites,
"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,24,16,1959,,little anthony and the imperials,
Lucky Devil,"Carl Dobkins, Jr.",25,17,1959,,"carl dobkins, jr.",
Mona Lisa,Carl Mann,25,16,1959,,carl mann,
Reveille Rock,Johnny And The Hurricanes,25,13,1959,,johnny and the hurricanes,
Robbin' The Cradle,Tony Bellus,25,26,1959,,tony bellus,
The Wonder Of You,Ray Peterson,25,19,1959,,ray peterson,
Believe Me,Royal Teens,26,15,1959,,royal teens,
Bonnie Came Back,Duane Eddy His Twangy Guitar,26,9,1959,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
Bonnie Came Back,The Rebels,26,9,1959,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
Mary Lou,Ronnie Hawkins,26,16,1959,Ronnie Hawkins and The Hawks,ronnie hawkins,
Mary Lou,The Hawks,26,16,1959,Ronnie Hawkins and The Hawks,the hawks,
My Melancholy Baby,Tommy Edwards,26,8,1959,,tommy edwards,
This I Swear,The Skyliners,26,12,1959,,the skyliners,
Caribbean,Mitchell Torok,27,14,1959,,mitchell torok,
"No Other Arms, No Other Lips",The Chordettes,27,11,1959,,the chordettes,
The Morning Side Of The Mountain,Tommy Edwards,27,12,1959,,tommy edwards,
High School U.S.A.,Tommy Facenda,28,13,1959,,tommy facenda,
I've Come Of Age,Billy Storm,28,14,1959,,billy storm,
Only Sixteen,Sam Cooke,28,10,1959,,sam cooke,
Six Nights A Week,The Crests,28,13,1959,,the crests,
The Enchanted Sea,The Exotic Sounds of Martin Denny,28,8,1959,,the exotic sounds of martin denny,
The Story Of My Love,Conway Twitty,28,12,1959,,conway twitty,
Come On And Get Me,Fabian,29,8,1959,,fabian,
Fools Hall Of Fame,Pat Boone,29,9,1959,,pat boone,
Mona Lisa,Conway Twitty,29,12,1959,,conway twitty,
Tomboy,Perry Como,29,9,1959,,perry como,
"""Yep!""",Duane Eddy His Twangy Guitar,30,9,1959,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
"""Yep!""",The Rebels,30,9,1959,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
Come To Me,Marv Johnson,30,15,1959,,marv johnson,
High Hopes,"Frank Sinatra ""and a bunch of kids""",30,17,1959,,"frank sinatra ""and a bunch of kids""",
Little Dipper,The Mickey Mozart Quintet,30,10,1959,,the mickey mozart quintet,
Living Doll,Cliff Richard,30,13,1959,Cliff Richard and The Drifters,cliff richard,
Living Doll,The Drifters,30,13,1959,Cliff Richard and The Drifters,the drifters,
Till There Was You,Anita Bryant,30,13,1959,,anita bryant,
(I'll Be With You In) Apple Blossom Time,Tab Hunter,31,11,1959,,tab hunter,
Everybody Likes To Cha Cha Cha,Sam Cooke,31,13,1959,,sam cooke,
Guess Who,Jesse Belvin,31,13,1959,,jesse belvin,
I'm A Man,Fabian,31,10,1959,,fabian,
If I Had A Girl,Rod Lauren,31,10,1959,,rod lauren,
Marina,Rocco Granata,31,11,1959,Rocco Granata and the International Quintet,rocco granata,
Marina,the International Quintet,31,11,1959,Rocco Granata and the International Quintet,the international quintet,
Almost Grown,Chuck Berry,32,13,1959,,chuck berry,
Don't Take Your Guns To Town,Johnny Cash,32,12,1959,,johnny cash,
Just As Much As Ever,Bob Beckham,32,21,1959,,bob beckham,
Ring-A-Ling-A-Lario,Jimmie Rodgers,32,8,1959,,jimmie rodgers,
Tucumcari,Jimmie Rodgers,32,9,1959,,jimmie rodgers,
"(If You Cry) True Love, True Love",The Drifters,33,11,1959,,the drifters,
How About That,Dee Clark,33,11,1959,,dee clark,
I Miss You So,Paul Anka,33,9,1959,,paul anka,
I Waited Too Long,LaVern Baker,33,11,1959,,lavern baker,
I've Been Around,Fats Domino,33,9,1959,,fats domino,
My Own True Love,Jimmy Clanton,33,12,1959,,jimmy clanton,
There Must Be A Way,Joni James,33,12,1959,,joni james,
If I Give My Heart To You,Kitty Kallen,34,12,1959,,kitty kallen,
Talk That Talk,Jackie Wilson,34,12,1959,,jackie wilson,
The Happy Reindeer,"Dancer, Prancer And Nervous",34,6,1959,,"dancer, prancer and nervous",
You're Gonna Miss Me,Connie Francis,34,10,1959,,connie francis,
Just Come Home,Hugo & Luigi,35,9,1959,,hugo & luigi,
Little Things Mean A Lot,Joni James,35,9,1959,,joni james,
Midnight Stroll,The Revels,35,10,1959,,the revels,
Someone,Johnny Mathis,35,13,1959,,johnny mathis,
The Way I Walk,Jack Scott,35,14,1959,,jack scott,
God Bless America,Connie Francis,36,11,1959,,connie francis,
I'm Never Gonna Tell,Jimmie Rodgers,36,11,1959,,jimmie rodgers,
Run Red Run,The Coasters,36,8,1959,,the coasters,
Tall Cool One,The Wailers,36,23,1959,,the wailers,
Back In The U.S.A.,Chuck Berry,37,8,1959,,chuck berry,
Some Kind-A Earthquake,Duane Eddy His Twangy Guitar,37,8,1959,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,
Some Kind-A Earthquake,The Rebels,37,8,1959,Duane Eddy His Twangy Guitar And The Rebels,the rebels,
You Better Know It,Jackie Wilson,37,10,1959,,jackie wilson,
I'm A Hog For You,The Coasters,38,8,1959,,the coasters,
Mighty Good,Ricky Nelson,38,9,1959,,ricky nelson,
Plain Jane,Bobby Darin,38,9,1959,,bobby darin,
Since You've Been Gone,Clyde McPhatter,38,13,1959,,clyde mcphatter,
So Close,Brook Benton,38,7,1959,,brook benton,
Talk To Me,Frank Sinatra,38,11,1959,,frank sinatra,
The Class,Chubby Checker,38,7,1959,,chubby checker,
The Hanging Tree,Marty Robbins,38,13,1959,,marty robbins,
Graduation's Here,The Fleetwoods,39,8,1959,,the fleetwoods,
Harlem Nocturne,The Viscounts,39,29,1959,,the viscounts,
Nola,Billy Williams,39,12,1959,,billy williams,
Swingin' On A Rainbow,Frankie Avalon,39,6,1959,,frankie avalon,
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,39,15,1959,,david seville,david seville and the chipmunks
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,39,15,1959,,the chipmunks,david seville and the chipmunks
The Mummy,Bob McFadden And Dor,39,8,1959,,bob mcfadden and dor,
Torquay,Fireballs,39,13,1959,,fireballs,
With Open Arms,Jane Morgan,39,11,1959,,jane morgan,
Heavenly Lover,Teresa Brewer,40,8,1959,,teresa brewer,
I'm Movin' On,Ray Charles and his Orchestra,40,10,1959,,ray charles,ray charles and his orchestra
I'm Movin' On,Ray Charles and his Orchestra,40,10,1959,,his orchestra,ray charles and his orchestra
Wonderful You,Jimmie Rodgers,40,7,1959,,jimmie rodgers,
Gidget,Jimmy Darren,41,12,1959,,jimmy darren,
Mary Don't You Weep,Stonewall Jackson,41,7,1959,,stonewall jackson,
Remember When,The Platters,41,9,1959,,the platters,
The Clouds,The Spacemen,41,14,1959,,the spacemen,
A Year Ago Tonight,The Crests,42,10,1959,,the crests,
First Anniversary,Cathy Carr,42,12,1959,,cathy carr,
I Go Ape,Neil Sedaka,42,8,1959,,neil sedaka,
It's Only The Beginning,The Kalin Twins,42,10,1959,,the kalin twins,
Like I Love You,Edd Byrnes,42,9,1959,Edd Byrnes and Friend,edd byrnes,
Like I Love You,Friend,42,9,1959,Edd Byrnes and Friend,friend,
Marina,Willy Alberti,42,8,1959,,willy alberti,
Tell Him No,Dean & Marc,42,8,1959,,dean & marc,
As Time Goes By,Johnny Nash,43,11,1959,,johnny nash,
Baciare Baciare (Kissing Kissing),Dorothy Collins,43,10,1959,,dorothy collins,
I Got Stripes,Johnny Cash,43,11,1959,,johnny cash,
Okefenokee,Freddie Cannon,43,9,1959,,freddie cannon,
Ten Thousand Drums,Carl Smith,43,9,1959,,carl smith,
